hole1,hole2,max,min,mean,25%,50%,75%,var,stat
C6,DT,118,10,41.200000000000003,16.0,36.0,38.0,1198.5599999999999,34.620225302559774
C6,DJ,76,11,39.0,17.0,36.5,60.0,557.0,23.600847442411894
C6,DQ,122,12,45.200000000000003,22.0,34.0,58.0,1095.3600000000001,33.096223349500171
C6,DK,97,13,58.100000000000001,35.75,57.5,75.0,763.08999999999992,27.624083695210597
C6,HA,98,20,33.600000000000001,20.0,20.0,40.0,539.84000000000015,23.234457170332174
C6,H2,114,6,31.100000000000001,6.0,19.0,30.0,1185.6900000000001,34.43384962504193
C6,H3,177,6,40.100000000000001,6.75,9.0,62.5,2726.8900000000003,52.219632323485392
C6,H4,114,6,45.200000000000003,12.5,34.0,66.0,1246.5599999999999,35.306656596171777
C6,H5,117,6,70.5,33.25,80.0,116.0,1986.6500000000001,44.571852104214834
C6,H6,90,34,66.0,41.5,67.0,90.0,540.0,23.2379000772445
C6,H7,116,7,40.799999999999997,13.75,34.0,57.5,1063.5599999999999,32.612267630448514
C6,H8,118,8,55.700000000000003,36.0,51.5,73.0,893.00999999999988,29.883272913119807
C6,H9,117,9,35.299999999999997,10.5,15.0,29.25,1675.2099999999998,40.929329337285751
C6,HT,69,10,21.5,10.0,10.0,31.0,372.64999999999998,19.304144632694815
C6,HJ,75,11,33.100000000000001,17.0,34.0,34.0,420.89000000000004,20.515603817582363
C6,HQ,187,12,67.400000000000006,22.0,40.0,74.0,3895.04,62.410255567494673
C6,HK,118,13,62.100000000000001,35.75,72.5,78.0,1052.6900000000001,32.44518454254807
C6,SA,188,14,67.400000000000006,34.0,59.0,92.5,2514.4400000000001,50.14419208642213
C6,S2,176,6,55.600000000000001,13.5,45.5,74.25,2465.6400000000003,49.655211206881404
C6,S3,90,6,32.600000000000001,9.0,32.5,34.0,746.44000000000005,27.32105415242977
C6,S4,179,6,37.799999999999997,7.0,21.0,32.0,2535.7599999999993,50.356330287263781
C6,S5,179,6,57.600000000000001,16.5,33.5,85.0,2838.6399999999999,53.27888887730299
C6,S6,187,34,74.400000000000006,41.5,69.5,85.5,1823.6400000000001,42.704098163993585
C6,S7,73,7,28.399999999999999,7.0,23.5,34.75,565.44000000000005,23.77898231632296
C6,S8,182,8,56.700000000000003,34.0,34.0,68.5,2114.4100000000003,45.982714143469174
C6,S9,121,9,72.599999999999994,67.25,71.0,106.0,1451.6399999999999,38.100393698753294
C6,ST,122,10,42.399999999999999,16.0,36.0,38.0,1195.0399999999997,34.569350586899951
C6,SJ,117,11,36.799999999999997,11.0,28.0,39.0,1081.1600000000003,32.880997551777533
C6,SQ,73,12,28.699999999999999,12.0,26.0,38.5,350.40999999999997,18.719241437622411
C6,SK,195,13,58.899999999999999,18.25,49.0,74.0,2684.29,51.81013414381399
C7,C8,150,8,43.700000000000003,9.75,35.0,62.25,1764.8099999999999,42.009641750436295
C7,C9,153,9,46.600000000000001,10.75,26.5,71.75,1951.8400000000001,44.179633316721862
